id,socAnx,worry,shame,imagery,obsessive
1,36,64,151,68,319
2,24,41,139.333333333333,73,158
3,106,78,179,104,421
4,42,37,146.666666666667,58,221
5,55,49,158,88,332
6,77,62,165,118,255
7,33,51,158.4,44,253
8,111,67,190,48,237
9,50,51,134.566666666667,77,214
10,83,62,166,72,292
11,102,66,212,78,407
12,116,65,199,78,350
13,57,48,127,57,291
14,12,63,189,99,308
15,45,52,129.066666666667,46,252
16,27,37,174,92,120
17,10,26,140,79,181
18,16,44,204,71,335
19,81,47,154.733333333333,88,208
20,79,32,137.5,101,264
21,119,48,207,110,224
22,37,41,138.6,71,198
23,51,35,129.066666666667,95,282
24,75,72,202,99,202
25,19,26,124,48,166
26,126,65,195,57,413
27,55,63,159,112,260
28,81,68,185,80,195
29,28,62,206,121,357
30,75,56,146.3,70,396
31,79.5,55,127,74,240
32,68,41,107.8,65,145
33,38,49,141,63,169
34,60,55,128,50,273
35,48,43,139.7,95,135
36,37,46,128,81,178
37,62,44,132.366666666667,74,192
38,88,75,192,110,378
39,60.5,27,125,62,117
40,39,44,221,159,175
41,106,64,137,56,273
42,29,37,149.6,98,262
43,36,54,203,100,284
44,67,39,122.466666666667,76,304
45,53,71,136,84,305
46,57,51,155.833333333333,45,262
47,24,31,127.966666666667,43,228
48,55,41,182,79,175
49,73,34,149,65,269
50,51,58,188,69,397
51,25,49,145.2,88,168
52,75,41,159.866666666667,78,338
53,91,50,209,80,343
54,73,47,133.1,97,187
55,52,57,139,42,215
56,44,44,157,96,289
57,62,45,145.933333333333,81,229
58,43,39,135,41,264
59,30,32,144,38,178
60,54,65,178,100,270
61,49, , ,58,107
62,107,49,145.933333333333,92,318
63,33,54,119,80,145
64,98,38,129,95,183
65,47,31,148,98,181
66,25,51,193,65,216
67,43,45,124,160,142
68,118,42,145.2,122,201
69,77,55,124,45,217
70,45,47,150,94,304
71,67,61,145,62,230
72,42,42,183,97,262
73,77,48,156.933333333333,78,270
74,55,50,132.733333333333,109,248
75,45,41,134.2,100,260
76,68,79,219,95,374
77,51,40,134,48,136
78,55,43,138.966666666667,107,228
79,34,66,152,66,324
80,42,46,178.566666666667,95,300
81,37,31,189,79,172
82,39,47,192,59,249
83,60, , ,99, 
84,89,68,149,82,337
85,62,50,185,43,346
86,70,41,139.7,90,247
87,37,39,192, ,185
88,29,42,109.633333333333,88,183
89,63,35,211,75,119
90,72,43,134,81,229
91,60,5,0,126,283
92,25,32, ,45,283
93,-8,74,223,46,306
94,100,43,176,71,213
95,60,36,127.6,66,276
96,56,46,149.233333333333,85,313
97,63,47,136.4,85,271
98,7,40,122,87,160
99,25,40,136,96,126
100,32,77,210,70,336
101,26,43,185,42,262
102,110,38,192,88, 
103,26, , ,94, 
104,33,72,148, ,350
105,67,50,129.8,66,196
106,57.5,65,117,64,227
107,46,43,134,61,261
108,105,62,187,75,328
109,58,23,89,34,147
110,-9,45,137.5,65,299
111,34,36,141.533333333333,53,120
112,50,45,144.1,63,219
113,76,50,133,66,265
114,53,43,142,64,225
115,47,63, ,123,276
116,41,32,171,104,124
117,33,44,125,70,159
118,57,73,144,0,284
119,47.5, , ,63,101
120,32,42,140,61, 
121,78,55,152.166666666667,73,290
122,85,37,121,76,124
123,61,35,129.433333333333,83,210
124,88,58,142,98,196
125,55,50,182,78,231
126,59,45,124.666666666667,80,192
127,63,53,142,81,114
128,59,43,126.866666666667,38,260
129,27,55,144.833333333333,80,227
130,75,50,134.933333333333,97,346
131,37, , , ,243
132,31,51,131,43,168
133,66,69,196, ,347
134,31,44,132,67,151
135,64,50,136.766666666667,85,264
136,71,45,195,87,265
137,87,72,147,79,315
138,65,50,126.866666666667,72,223
139,40,64,144,69,263
140,54,49,138,115,274
141,52,47,140,54,258
142,29,59,129,53,185
143,53,41,142.266666666667,90,229
144,56,46,137.866666666667,86,116
145,48,71,142,46,274
146,50,42,127,77, 
147,76,51,170,43,184
148,37.5,32,122,49, 
149,38,49,141,71,234
150,-3,35,188,76,151
151,41,29,120,101,126
152,91,60,139.7,75,320
153,63,51,178,34,362
154,57,55,147,39,277
155,97,61,140,84,170
156,69,63,145,57,239
157,36,36,138.966666666667,89,159
158,83,58,138.6,62,212
159,84,45,147.033333333333,90,524
160,65,48,128.7,77,189
161,53,47,162.433333333333,46,155
162,39,52,141.166666666667,51,201
163,30,52,118,73,137
164,93,68,195,103,177
165,35,56,137,77,205
166,19,52,130,54,149
167,91,52,142,47, 
168,36.5,49,158,88,252
169,66,55,179,118,310
170,79,72,181,106,328
171,111,66,201,76,325
172,94,37,193,56,259
173,83,59,185,116,416
174,92,52,158,67,250
175,18,28,120,36,120
176,99,56,129,65,232
177,63,50,180,39,190
178,26,51,184,57,385
179,47,43,0,55,250
180,82,36,206,49,276
181,36.5,49,134,81,376
182,36,33,136,81,292
183,81,71,136,53,309
184,56,48,137,67,160
185,63,48,157.3,104,250
186,104,68,188,86,320
187,49,47,115,74,169
188,52, , , , 
189,45,60,127.966666666667,58,301
190,55,42,132.733333333333,80,270
191,57,39,155,75,281
192,71,45,146,88,223
193,44,64,123,72,188
194,109,36,187,42,185
195,55,47,143,97,180
196,46, , , ,231
197,9,57,183,74,185
198,46,58,161.333333333333,90,286
199,42,52,128,81,129
200,63,56,145,91,280
201,45,44,149,85,218
202,23,58,194,48,260
203,43,42,133.466666666667,83,316
204,47,40,146,93,101
205,58,62,129,82,285
206,34,59,188,69,259
207,51,69,202,44,296
208,19,31,167,82,119
209,23,55,159,79,187
210,42,71,166,90,246
211,55,49,133,68,229
212,45,36,137,87,203
213,59,65,123,67,324
214,67,35,154,66,200
215,61,50,147.766666666667,57,332
216,40,55,163,45,226
217,38,51,131,92,230
218,5,53,164,57,169
219,36,33,110,126,358
220,33,35,165,84,100
221,63,49,142.633333333333,77,240
222,67,46,142,91,227
223,48,40,131.266666666667,75,135
224,73,45,177,123,165
225,55,40,141,58,278
226,44,55,200,55,232
227,44,54,139,66,254
228,100,61,183,108,233
229,34,54,165,72,210
230,117,56,160,100,270
231,110,58,144.1,93,310
232,98,52,142.633333333333,89,250
233,60,43,140.433333333333,82,156
234,22,36,169,59,207
235,63,44,218,107,179
236,66,27,119.166666666667,78,126
237,31,34,150.7,81,263
238,91,65,136.033333333333,99,244
239,134,16,199,43,153
240,76,69,135,88,387
241, ,54,121,64,267
242,65,43,144,113,323
243,69,45,141,75,333
244,74,48,125.766666666667,66,229
245,71,52,181,61,213
246,87,39,145.933333333333,60,303
247,74,42,163.533333333333,46,217
248,44,37,116,76,263
249,47,32,127.6,44,289
250,35,28,134,73,161
251,35,38,139,54,195
252,24,43,139.7,63,329
253,84,60,197,58,286
254,31,33,139.333333333333,67,216
255,46,45,143.733333333333,73,223
256,62,44,157.666666666667,114,257
257,83,40,127.966666666667,75,106
258,49,49,130,88,184
259,44.5,72,131,68,173
260,35,54,130,79,160
261,69,76,128,84,212
262,65,54,144.833333333333,81,164
263,83,48,135,71,178
264,88,45,142,72,248
265,-5,33,191,45,210
266,79,41,148.5,60,279
267,44,50,188,74,238
268,55,42,129.433333333333,80,275
269,64,43,137,109,179
270,33,32,169,101,134
271,47,39,128,46,229
272,95,56,139,102,212
273,38,37,161,71,272
274,52,39,151,45,174
275,42,41,134.933333333333,57,205
276,30,41,155,103,416
277,70,60,171,88,256
278,68,57,166.1,52,382
279,47,35,176,82,170
280,38,40,113.666666666667,81,305
281,68,46,145,75,192
282,55.5,27,141,47,189
283,72,52,143,52,293
284,38,39,129.8,36,286
285,57,54,137.5,74,232
286,54,47,168,126,223
287,24,44, ,83,134
288,53,57,210,78,214
289,22,20,127,44,179
290,76,54,142, ,312
291,32,20,194,68,261
292,25,48,144.1,70,389
293,63,46,157,84,303
294,56,42,143.366666666667,54,197
295,35,57,156.933333333333,72,136
296,118,60,205,115,278
297,62,44,152.9,68,204
298,76,51,141.9,91,313
299,50,40,171,57,224
300,21.5,38,157,46,170
301,55,42,155,78,200
302,18,44,151,62,159
303,25,38,131.266666666667,91,158
304,96,48,145,79,241
305,64, , , , 
306,31,42,148,70,123
307,80,45,145.566666666667,46,243
308,85,47,136.033333333333,88,194
309,72,63,153,74,366
310,25, , , , 
311,49,51,148.5,71,307
312,74,51,137,104,272
313,16,27,140,74,184
314,36,48,151,76,308
315,33,53,126,69,159
316,91,76,214,106,322
317,84,68,149,59,223
318,60,45,128,122,147
319,116,60,190,71,218
320,60,41,190,89,262
321,8,51,151,74,287
322,58, , ,65,279
323,57,41,118.433333333333,111,357
324,45,38,172,94,177
325,101,64,183,33,141
326,50,74,130,88,291
327,118,64,135.666666666667,59,469
328,43,40,116.6,67,304
329,58,40,108.166666666667,69,153
330,68,56,150.333333333333,50,160
331,56,50,127,73,176
332,42,52,161, ,375
333,78,47,133.833333333333,59,290
334,17,36,131.266666666667,70,291
335,54,56,175,43,242
336,97,65,158.766666666667,94,307
337,41,56,155.1,58,267
338,38,40,131.266666666667,90,221
339,58,44,153.633333333333,83,334
340,55,31,140.8,106,314
341,79,41, ,67,158
342,33,34,143,51,127
343,31,55,147,79,253
344,53,43,121,58,212
345,52,50,150,60,170
346,48,43,147.766666666667,66,239
347,58,49,138,101,264
348,31,42,138,81, 
349,48,45,132.366666666667,80,197
350,59,37,132.366666666667,46,203
351,59,38,132,99,347
352,134,66,200,50,287
353,13,40,174,37,247
354,74,45,138.6,83,333
355,48,47,153.266666666667,79,227
356,39,47,147.033333333333,98,249
357,55,44,133,75,144
358,68,64,163.9,60,416
359,78,49,146.3,78,101
360,56,43,147.766666666667,59,253
361,34,40,130,53,183
362,35,29,135,68,188
363,36,36,127, ,208
364,45,68,197,67,290
365,52,53,156,77,199
366,47,39,128,78,250
367,50,61,189,67,215
368,69,60,133,58,199
369,55,34,107.066666666667,81,116
370,63,68,171,76,135
371,41,47,134.566666666667,84,291
372,60,55,130.9,52,332
373,60,46,127,60,282
374,79,50,133.833333333333,95,253
375,95,56,192,107,222
376,104,47,124.666666666667,105,179
377,57,38,146.3,64,275
378,56,63,193,76,268
379,58,66, ,95,336
380,63,55,150.333333333333,133,328
381,43,21,142,89,202
382,41,45,149,82,203
383,83,51,183,89,281
384,106,44,132.366666666667,78,171
385,59,53,144,52,353
386,66,42,165.733333333333,54,318
387,64,46,116.6,73,120
388,69,62,191,79,360
389,84,71,129,94,323
390,51,52,134.566666666667,59,217
391,4,37,127,74,202
392,37,49,137.133333333333,89,151
393,48,49,129,0,192
394,51,49,135,65,133
395,61,32,134,47,219
396,23,61,137.133333333333,89,185
397, ,46,147.033333333333,81,262
398,34,66,145.933333333333,106,163
399,47,38,144.1,80,142
400,105,39,190,76,175
401,78,50,148,101,170
402,72,46,149.966666666667,76,307
403,45,33,133,83,277
404,50,72,139,61,290
405,72.5,60,132,91,249
406,67,49,178,42,287
407,59,41,141.166666666667,101,257
408,90,40,108,96,152
409,34,42,137.133333333333,50,223
410,55,44,144,111, 
411,30,47,182,49,175
412,62,64,136,83,309
413,50,33,157,38,241
414,89,57,143.366666666667,69,454
415,92,49,144,97,243
416,92,57,130.533333333333,93,305
417,69,47,153.266666666667,96,258
418,23,39,145,97,316
419,48,35,131,67, 
420,97,66,136,66, 
421,46,40,117,98,167
422,57,39,144.1,96,224
423,43,35,100,43,130
424,64,49, ,88,176
425,60,61,147.4,55,163
426,27,49,111,58,184
427, ,30,92,71,108
428,68,38,197,89,252
429,73,56,151.066666666667,75,279
430,65,34,136.4,94,141
431,36,50,174,97,191
432,37.5,51,148,59,233
433,64,36,149, ,227
434,23,56,132,102,169
435,45,43,139.7,101,174
436,137,80,175,62,320
437,58,60,136,102,250
438,55,60,129.066666666667,71,444
439,29,30,210,78,274
440,75, , ,64, 
441,33,78,187,91,234
442,16,44,148,70,220
443,53,37,137.5,70,194
444,41,44,158.033333333333,51,253
445,19,50,131.266666666667,67,215
446,90,61,146,55,270
447,45,56,146,74,287
448,103,65,214, ,362
449,34,42,141,34,308
450,21,63,125,75,216
451,49,39,137.5,47,278
452,78,58,187,100,169
453,55,44,172,86,151
454,54,48,123.566666666667,67,315
455,41,44,125,103,215
456,45,38, ,83,242
457,51,69,185,72,177
458,36,49,132,93,131
459,71,51,188,94,326
460,88,45,187,54,126
461,120,69,225,69,410
462,47.5,54,139,80,236
463,80,63,158.766666666667,32,393
464,40,56,133,46,277
465,34,61,151,58,204
466,67,57,122,52,276
467,54,45,146,76,213
468,34,43,160.6,127,238
469,68,44,209,76,241
470,23,45,148.133333333333,76,292
471,44,70,168,55,413
472,90,49,135.3,93,296
473,52,40,137,77,159
474,41,50,133.466666666667,51,476
475,56,37,145,92,168
476,48,31,135,57,136
477,28,58,177,62,151
478,15,61,112.566666666667,79,155
479,91,66,145,71,327
480, ,41,127,78, 
481,75,75,192,100,423
482,39,31,179,78,270
483,66,53,149,112,311
484,63,49,204,63,333
485,30,67,149,67,263
486,70,43,139.333333333333,92,240
487,57,75,160,53,278
488,68,40,137.866666666667,80,233
489,44,40,159.866666666667,117,286
490,65,65,147,54,335
491,74,47,197,84,283
492,18, , , , 
493,42,44,201,52,218
494,81,34,131,64,111
495,53,45,133.833333333333,76,176
496,22,43,145.2,68,210
497,78,64,140,88,285
498,65,40,141,70,174
499,116,78,145,116,262
500,42,61,140,82,175
501,85,45,130.166666666667,87,219
502,74,33,138,71,205
503,61, , , ,240
504,110,62,151,102,203
505,66,50,141,84,189
506,33,30,118,61,201
507,43,30,158,74,199
508,33,32,154,82,142
509,25,65,144,54,313
510,57,64,160,76,217
511,48.5,75,150,68,272
512,25,66,167,106,153
513,85,74,157,66,385
514,65,44,164,32,123
515,28,44, ,86,126
516,41,45,119,47,184
517,38,57,162.433333333333,78,131
518,67,51,145,71, 
519,40,37,136,46,257
520,58,62,153,75,418
521,33,55,143,115,225
522,40,44,133,80,218
523,73,71,211,63,299
524,63,36,129,69,200
525,102,56,151.433333333333,81,253
526,6,26,128,78,115
527,55,37,127.966666666667,80,233
528,62.5,28,138,60,275
529,60,46,133,111,138
530,46,33,121.366666666667,59,122
531,20,47,197,67, 
532,68,36,119.9,70,222
533,78,60,154.366666666667,74,332
534,72,34,119.533333333333,78,132
535,31,41,181,46,176
536,77,79,197,76,349
537,51,41,146.666666666667,57,141
538,33,40,131,58,208
539,52,25,173,116,163
540,46,43,135,103,240
541,69,80,185,71,338
542,46,51,153.266666666667,53,172
543,65,29,132,50,194
544,65,50,144.833333333333,75,226
545,40,42,118,71,200
546,17,48,136.033333333333,112,250
547, ,58,136,95,237
548,38,54,152.166666666667,89,352
549,60.5,42,135,58,205
550,69,74,151,60,117
551,70,37,131.633333333333,94,224
552,45,57,143,89,290
553,32,33,125,65,146
554,64,55,184, ,179
555,48,38,152,77,270
556,89,57,139,102,265
557,77,40,166.1,56,287
558,15, , , ,141
559,17,34,148.133333333333,90,222
